lat,lon,label,tid,category,day,hour
40.00152,116.311859,0,130,0,0,13
40.001437,116.31225,0,161,1,0,19
40.001434,116.312406,0,158,1,0,23
40.001418,116.312536,0,140,1,0,23
40.001398,116.312649,0,139,2,1,14
40.001481,116.31262,0,109,1,1,17
40.00137,116.312659,0,141,1,1,18
40.001397,116.312671,0,145,1,1,21
40.001458,116.312656,0,145,1,1,23
40.001549,116.312655,0,148,1,3,0
40.001656,116.31265,0,149,1,3,0
40.001797,116.312616,0,146,1,3,1
40.001928,116.312615,0,147,3,3,1
40.002051,116.31263,0,145,1,3,3
40.002204,116.312624,0,146,0,3,3
40.002369,116.312624,0,146,1,3,3
40.002508,116.312596,0,142,2,4,18
40.002649,116.312581,0,146,1,4,22
40.002769,116.312561,0,151,4,5,23
40.00293,116.312549,0,155,2,6,20
40.003135,116.312509,0,167,0,6,21
40.00335,116.312536,0,167,2,6,23
40.003494,116.312525,0,172,1,0,17
40.003673,116.31252,0,174,5,0,19
40.003822,116.312509,0,169,4,0,20
40.004016,116.312476,0,184,1,0,20
40.004172,116.312458,0,194,1,0,21
40.004391,116.312562,0,192,1,3,2
40.004422,116.312795,0,177,5,3,2
40.00444,116.313018,0,167,1,3,2
40.004462,116.313236,0,161,2,5,14
40.004483,116.313451,0,150,1,5,15
40.004499,116.313675,0,143,3,5,17
40.004499,116.31391,0,138,1,5,18
40.004511,116.314122,0,134,2,6,0
40.004536,116.31433,0,134,1,6,12
40.004561,116.314561,0,133,1,6,13
40.004578,116.314774,0,139,6,6,14
40.004637,116.314999,0,147,5,6,20
40.004643,116.315208,0,138,1,6,21
40.004653,116.315422,0,140,1,0,12
40.004662,116.315642,0,137,3,0,13
40.004687,116.31586,0,137,0,0,14
40.004705,116.316074,0,132,1,0,16
40.004739,116.316299,0,140,1,0,17
40.004789,116.316522,0,148,5,1,21
40.004797,116.316739,0,153,0,1,22
40.004787,116.316961,0,153,1,2,16
40.0048,116.317188,0,153,1,2,17
40.004798,116.317426,0,151,1,2,18
40.004805,116.317655,0,148,1,2,21
40.004817,116.317871,0,140,1,2,22
40.004868,116.317967,0,138,3,3,16
40.004968,116.317923,0,136,1,3,19
40.00511,116.317931,0,135,5,3,21
40.005285,116.317922,0,139,0,3,22
40.005441,116.317923,0,137,1,3,23
40.005566,116.31797,0,135,2,6,0
40.005598,116.31799,0,134,3,6,9
40.005608,116.318011,0,132,1,6,13
40.005608,116.318007,0,131,0,6,16
40.005608,116.318007,0,131,1,6,17
40.00561,116.318008,0,131,2,1,0
40.005607,116.317999,0,131,1,1,17
40.005602,116.317986,0,131,1,1,18
40.005599,116.317975,0,131,1,1,22
40.005596,116.317967,0,131,1,2,19
40.005596,116.317967,0,131,6,3,4
40.005595,116.317965,0,131,1,4,17
40.005588,116.317949,0,130,1,4,20
40.005585,116.317933,0,130,1,4,21
40.005582,116.317919,0,130,1,6,11
40.00558,116.317906,0,130,1,6,13
40.00558,116.317902,0,130,1,6,19
40.005582,116.317904,0,130,3,6,20
40.005582,116.317904,0,130,2,3,3
40.005583,116.317903,0,130,3,3,16
40.005581,116.31789,0,130,1,3,17
40.005579,116.317877,0,130,1,3,19
40.005576,116.317862,0,130,2,4,0
40.005572,116.31785,0,131,1,4,19
40.005571,116.317843,0,131,3,4,22
40.005571,116.31784,0,131,1,4,22
40.005572,116.317842,0,131,2,5,17
