,lat,lon
0,40.00152,116.311859
1,40.001437,116.31225
2,40.001434,116.312406
3,40.001418,116.312536
4,40.001398,116.312649
5,40.001481,116.31262
6,40.00137,116.312659
7,40.001397,116.312671
8,40.001458,116.312656
9,40.001549,116.312655
10,40.001656,116.31265
11,40.001797,116.312616
12,40.001928,116.312615
13,40.002051,116.31263
14,40.002204,116.312624
15,40.002369,116.312624
16,40.002508,116.312596
17,40.002649,116.312581
18,40.002769,116.312561
19,40.00293,116.312549
20,40.003135,116.312509
21,40.00335,116.312536
22,40.003494,116.312525
23,40.003673,116.31252
24,40.003822,116.312509
25,40.004016,116.312476
26,40.004172,116.312458
27,40.004391,116.312562
28,40.004422,116.312795
29,40.00444,116.313018
30,40.004462,116.313236
31,40.004483,116.313451
32,40.004499,116.313675
33,40.004499,116.31391
34,40.004511,116.314122
35,40.004536,116.31433
36,40.004561,116.314561
37,40.004578,116.314774
38,40.004637,116.314999
39,40.004643,116.315208
40,40.004653,116.315422
41,40.004662,116.315642
42,40.004687,116.31586
43,40.004705,116.316074
44,40.004739,116.316299
45,40.004789,116.316522
46,40.004797,116.316739
47,40.004787,116.316961
48,40.0048,116.317188
49,40.004798,116.317426
50,40.004805,116.317655
51,40.004817,116.317871
52,40.004868,116.317967
53,40.004968,116.317923
54,40.00511,116.317931
55,40.005285,116.317922
56,40.005441,116.317923
57,40.005566,116.31797
58,40.005598,116.31799
59,40.005608,116.318011
60,40.005608,116.318007
61,40.005608,116.318007
62,40.00561,116.318008
63,40.005607,116.317999
64,40.005602,116.317986
65,40.005599,116.317975
66,40.005596,116.317967
67,40.005596,116.317967
68,40.005595,116.317965
69,40.005588,116.317949
70,40.005585,116.317933
71,40.005582,116.317919
72,40.00558,116.317906
73,40.00558,116.317902
74,40.005582,116.317904
75,40.005582,116.317904
76,40.005583,116.317903
77,40.005581,116.31789
78,40.005579,116.317877
79,40.005576,116.317862
80,40.005572,116.31785
81,40.005571,116.317843
82,40.005571,116.31784
83,40.005572,116.317842
84,40.005573,116.317842
85,40.005573,116.317842
86,40.00557,116.317834
87,40.005563,116.317824
88,40.005555,116.31779
89,40.005565,116.317801
90,40.005565,116.317801
91,40.005567,116.317807
92,40.005568,116.317773
93,40.005685,116.317708
94,40.005827,116.317718
95,40.005969,116.317689
96,40.006117,116.317661
97,40.006292,116.317658
98,40.006465,116.317667
99,40.006532,116.317657
100,40.00646,116.317564
101,40.006482,116.317562
102,40.0065,116.317548
103,40.006501,116.317525
104,40.006503,116.317525
105,40.006503,116.317525
106,40.006497,116.317528
107,40.006481,116.317534
108,40.006454,116.317542
109,40.006426,116.317551
110,40.0064,116.317564
111,40.006375,116.317579
112,40.006345,116.31759
113,40.006303,116.317611
114,40.006234,116.317629
115,40.006162,116.317643
116,40.006104,116.317659
117,40.006094,116.317671
118,40.006104,116.317678
119,40.006103,116.317679
120,40.006105,116.317681
121,40.00611,116.317681
122,40.006118,116.31768
123,40.006118,116.31768
124,40.006126,116.317682
125,40.006247,116.317718
126,40.006272,116.317714
127,40.006372,116.317725
128,40.006378,116.317809
129,40.006338,116.317995
130,40.006384,116.318257
131,40.00642,116.318516
132,40.006466,116.318765
133,40.006489,116.318999
134,40.006567,116.319177
135,40.006675,116.319323
136,40.006857,116.319348
137,40.006993,116.319452
138,40.007098,116.319501
139,40.007289,116.319623
140,40.007594,116.319745
141,40.00765,116.319776
142,40.007594,116.319722
143,40.007559,116.319708
144,40.00755,116.319701
145,40.00755,116.319701
146,40.007546,116.3197
147,40.0075,116.319762
148,40.007459,116.319806
149,40.007432,116.319832
150,40.007444,116.319846
151,40.007524,116.319856
152,40.007709,116.319833
153,40.007804,116.319828
154,40.00785,116.319828
155,40.0079,116.31983
156,40.007888,116.319817
157,40.007814,116.319764
158,40.007808,116.319731
159,40.007822,116.319678
160,40.007834,116.319641
161,40.007837,116.319614
162,40.007718,116.319451
163,40.007717,116.319491
164,40.007835,116.319479
165,40.007856,116.319483
166,40.007858,116.319483
167,40.007858,116.319483
168,40.007855,116.319482
169,40.0079,116.31947
170,40.007912,116.319464
171,40.007928,116.319454
172,40.007909,116.31946
173,40.007802,116.319477
174,40.007688,116.319508
175,40.007571,116.319531
176,40.007497,116.319546
177,40.007446,116.319533
178,40.007407,116.31953
179,40.007976,116.319578
180,40.007875,116.319622
181,40.007751,116.319584
182,40.007772,116.31953
183,40.006715,116.322996
184,40.006672,116.323263
185,40.006643,116.323541
186,40.006725,116.323781
187,40.00679,116.324004
188,40.006862,116.324086
189,40.006993,116.324233
190,40.006981,116.324532
191,40.006984,116.324786
192,40.006973,116.325064
193,40.006903,116.32538
194,40.006797,116.325578
195,40.006574,116.325627
196,40.006369,116.325702
197,40.006225,116.325733
198,40.006203,116.325748
199,40.006203,116.325748
200,40.006207,116.325741
201,40.006194,116.325748
202,40.006167,116.32576
203,40.006147,116.32578
204,40.006139,116.32581
205,40.006169,116.325891
206,40.006289,116.325515
207,40.00563,116.326262
208,40.006353,116.32569
209,40.006135,116.325995
210,40.006124,116.326054
211,40.006084,116.326041
212,40.006105,116.326035
213,40.00617,116.326055
214,40.006272,116.32606
215,40.006616,116.325617
216,40.006748,116.325544
217,40.006758,116.325327
218,40.006783,116.32511
219,40.006815,116.324875
220,40.006834,116.324646
221,40.00675,116.324403
222,40.006755,116.324201
223,40.00678,116.323957
224,40.006772,116.3237
225,40.006738,116.323446
226,40.006733,116.323193
227,40.006759,116.322951
228,40.006858,116.322703
229,40.006905,116.322464
230,40.00692,116.322208
231,40.006917,116.321938
232,40.006948,116.321686
233,40.006911,116.321438
234,40.006819,116.321272
235,40.006935,116.321248
