,lat,lon,trans,1
0,40.00152,116.311859,0.0003997123966120475,1.7799675935270605
1,40.001437,116.31225,0.00015602884347717393,1.5900247258928526
2,40.001434,116.312406,0.0001309809146391782,1.6932573842304612
3,40.001418,116.312536,0.00011475626344442174,1.7459733213132023
4,40.001398,116.312649,8.792041855731766e-05,-0.33613805077545666
5,40.001481,116.31262,0.00011765202930414135,2.803714465332575
6,40.00137,116.312659,2.954657340077073e-05,0.4182243295792291
7,40.001397,116.312671,6.281719509814358e-05,-0.24111767829661113
8,40.001458,116.312656,9.100549433722082e-05,-0.010988568655279661
9,40.001549,116.312655,0.00010711675872609903,-0.046695004058192754
10,40.001656,116.31265,0.00014504137341380096,-0.23661765393430673
11,40.001797,116.312616,0.0001310038167344878,-0.007633439606921593
12,40.001928,116.312615,0.0001239112585710349,0.12135200060686002
13,40.002051,116.31263,0.0001531176018594686,-0.03919560192159949
14,40.002204,116.312624,0.00016500000000263526,0.0
15,40.002369,116.312624,0.00014179210132884228,-0.19877868483870653
16,40.002508,116.312596,0.00014179562757694598,-0.10598435802352614
17,40.002649,116.312581,0.00012165525060719942,-0.16514867734741334
18,40.002769,116.312561,0.00016144658559250964,-0.07439659881391451
19,40.00293,116.312549,0.00020886598574286442,-0.19270075865424183
20,40.003135,116.312509,0.00021668871682249634,0.12492740427945281
21,40.00335,116.312536,0.00014441952777141472,-0.07624082387550125
22,40.003494,116.312525,0.00017906981878121748,-0.027925699322812324
23,40.003673,116.31252,0.0001494054885207807,-0.07369181887848694
24,40.003822,116.312509,0.00019678668654233585,-0.16849035253754524
25,40.004016,116.312476,0.00015703502793626293,-0.1148766054013398
26,40.004172,116.312458,0.0002424396832186512,0.44335519183208744
27,40.004391,116.312562,0.0002350531854652747,1.438525930276701
28,40.004422,116.312795,0.00022372527796958675,1.490253455782575
29,40.00444,116.313018,0.00021910727966321144,1.4702194093681695
30,40.004462,116.313236,0.00021602314690549284,1.4734307563482745
31,40.004483,116.313451,0.00022457070156493175,1.4994888620005893
32,40.004499,116.313675,0.00023500000000353793,1.5707963267948966
33,40.004499,116.31391,0.00021233935103025415,1.514252889856383
34,40.004511,116.314122,0.00020949701668594896,1.4511778273155518
35,40.004536,116.31433,0.0002323488756154769,1.4629908089135566
36,40.004561,116.314561,0.0002136773268293669,1.4911529430606532
37,40.004578,116.314774,0.00023260696464249216,1.3143478851226107
38,40.004637,116.314999,0.00020908610666231742,1.5420960755996493
39,40.004643,116.315208,0.00021423351745186638,1.5241013227698346
40,40.004653,116.315422,0.0002201840139509777,1.5299100341586631
41,40.004662,116.315642,0.00021942880394641552,1.4566162213828329
42,40.004687,116.31586,0.00021475567512881306,1.4868816998356769
43,40.004705,116.316074,0.00022755438910318672,1.4208198954783244
44,40.004739,116.316299,0.00022853664914534018,1.3502289494076076
45,40.004789,116.316522,0.00021714741535787784,1.5339466557739239
46,40.004797,116.316739,0.00022222511110040643,1.6158109425820852
47,40.004787,116.316961,0.00022737194197601211,1.513590089602679
48,40.0048,116.317188,0.0002380084032089769,1.5791994903513238
49,40.004798,116.317426,0.00022910696192390435,1.5402381565330998
50,40.004805,116.317655,0.0002163330765228026,1.5152978215236732
51,40.004817,116.317871,0.00010870602559085527,1.0824623757420988
52,40.004868,116.317967,0.00010925200226756225,-0.41450687462050356
53,40.004968,116.317923,0.00014222517358480593,0.056278536344964665
54,40.00511,116.317931,0.00017523127574622338,-0.05138330217146443
55,40.005285,116.317922,0.00015600320509220027,0.0064101685942538015
56,40.005441,116.317923,0.00013354400024675537,0.3596470942892672
57,40.005566,116.31797,3.773592452182687e-05,0.558599315203849
58,40.005598,116.31799,2.3259406704042784e-05,1.1263771168412622
59,40.005608,116.318011,4.0000000041118255e-06,-1.5707963267948966
60,40.005608,116.318007,0.0,0.0
61,40.005608,116.318007,2.236067978209548e-06,0.463647614685148
62,40.00561,116.318008,9.486832985763322e-06,-1.8925468809546913
63,40.005607,116.317999,1.3928388271096297e-05,-1.9379701603567345
64,40.005602,116.317986,1.1401754253364077e-05,-1.8370483764923933
65,40.005599,116.317975,8.544003752852953e-06,-1.9295669966761304
66,40.005596,116.317967,0.0,0.0
